Kind,Identifier,Common Facet,Leaf Term
4,29001,Acadia National Park,Acadia National Park
4,29002,"Acadia National Park, ANP before 1916",ANP before 1916
4,29003,"Acadia National Park, Lafayette National Park",Lafayette National Park
4,29004,"Acadia National Park, Sieur de Monts National Monument",Sieur de Monts National Monument
4,29005,Bar Harbor,Bar Harbor
4,29006,"Bar Harbor, Eden",Eden
4,29007,"Bar Harbor, Otter Creek",Otter Creek
4,29008,"Bar Harbor, Town Hill",Town Hill
2,23001,"Businesses, Blacksmith",Blacksmith
2,23002,"Businesses, Boatbuilder",Boatbuilder
2,23003,"Businesses, Bowling Alley",Bowling Alley
2,23004,"Businesses, Builder",Builder
2,23005,"Businesses, Cannery",Cannery
2,23006,"Businesses, Carpentry",Carpentry
2,23007,"Businesses, Farm",Farm
2,23008,"Businesses, Ferry",Ferry
2,23009,"Businesses, Fishery",Fishery
2,23010,"Businesses, Garage",Garage
2,23011,"Businesses, Laundromat",Laundromat
2,23012,"Businesses, Lodging",Lodging
2,23013,"Businesses, Market",Market
2,23014,"Businesses, Medical",Medical
2,23015,"Businesses, Other",Other
2,23016,"Businesses, Publisher",Publisher
2,23017,"Businesses, Quarry",Quarry
2,23018,"Businesses, Real Estate",Real Estate
2,23019,"Businesses, Restaurant",Restaurant
2,23021,"Businesses, Service",Service
2,23020,"Businesses, Service Station",Service Station
2,23022,"Businesses, Shop",Shop
2,23023,"Businesses, Store",Store
2,23024,"Businesses, Studio",Studio
2,23025,"Businesses, Theatre",Theatre
4,29009,Cranberry Isles,Cranberry Isles
4,29010,"Cranberry Isles, Baker Island",Baker Island
4,29011,"Cranberry Isles, Bear Island",Bear Island
4,29012,"Cranberry Isles, Great Cranberry Island",Great Cranberry Island
4,29013,"Cranberry Isles, Little Cranberry Island",Little Cranberry Island
4,29014,"Cranberry Isles, Little Cranberry Island, Islesford",Islesford
4,29015,"Cranberry Isles, Sutton Island",Sutton Island
1,13600,"Document, Acknowledgment",Acknowledgment
1,13266,"Document, Administrative, Administrative Records",Administrative Records
1,13267,"Document, Administrative, Agenda",Agenda
1,13268,"Document, Administrative, Ballot",Ballot
1,13270,"Document, Administrative, Bylaws",Bylaws
1,13271,"Document, Administrative, Constitution",Constitution
1,13272,"Document, Administrative, Minutes",Minutes
1,13275,"Document, Administrative, Personnel Record",Personnel Record
1,13276,"Document, Administrative, Personnel Record, Job Application",Job Application
1,13277,"Document, Administrative, Personnel Record, Resume",Resume
1,13274,"Document, Administrative, Prospectus",Prospectus
1,13269,"Document, Administrative, Record Book",Record Book
1,13283,"Document, Administrative, Report",Report
1,13285,"Document, Administrative, Report, Administrative Report",Administrative Report
1,13286,"Document, Administrative, Report, Administrative Report, Annual Report",Annual Report
1,13287,"Document, Administrative, Report, Administrative Report, Quarterly Report",Quarterly Report
1,13284,"Document, Administrative, Report, Proceedings",Proceedings
1,13288,"Document, Administrative, Report, Technical Report",Technical Report
1,13289,"Document, Administrative, Resolution",Resolution
1,13290,"Document, Administrative, Rules",Rules
1,13278,"Document, Administrative, Shipping Record",Shipping Record
1,13279,"Document, Administrative, Shipping Record, Bill of Lading",Bill of Lading
1,13280,"Document, Administrative, Shipping Record, Manifest",Manifest
1,13281,"Document, Administrative, Shipping Record, Packing Slip",Packing Slip
1,13282,"Document, Administrative, Shipping Record, Waybill",Waybill
1,13273,"Document, Administrative, Work Order",Work Order
1,12844,"Document, Advertising, Advertisement",Advertisement
1,12851,"Document, Advertising, Advertising Card",Advertising Card
1,12852,"Document, Advertising, Advertising Card, Political Card",Political Card
1,12853,"Document, Advertising, Advertising Card, Show Card",Show Card
1,12854,"Document, Advertising, Advertising Card, Tobacco Card",Tobacco Card
1,12855,"Document, Advertising, Advertising Card, Trade Card",Trade Card
1,12840,"Document, Advertising, Advertising Media",Advertising Media
1,12885,"Document, Advertising, Advertising Sign",Advertising Sign
1,12886,"Document, Advertising, Advertising Sign, Billboard",Billboard
1,12888,"Document, Advertising, Advertising Sign, Marquee",Marquee
1,12887,"Document, Advertising, Advertising Sign, Sandwich Board",Sandwich Board
1,12889,"Document, Advertising, Advertising Sign, Trade Sign",Trade Sign
1,12890,"Document, Advertising, Advertising Sign, Yard Sign",Yard Sign
1,12848,"Document, Advertising, Broadside",Broadside
1,12849,"Document, Advertising, Brochure",Brochure
1,12870,"Document, Advertising, Display Piece",Display Piece
1,12862,"Document, Advertising, Flier",Flier
1,12863,"Document, Advertising, Flier, Circular",Circular
1,12866,"Document, Advertising, Flier, Handbill",Handbill
1,12867,"Document, Advertising, Flier, Handbill, Door Hanger",Door Hanger
1,12864,"Document, Advertising, Flier, Political Flier",Political Flier
1,12865,"Document, Advertising, Flier, Trade Flier",Trade Flier
1,12872,"Document, Advertising, Placard",Placard
1,12873,"Document, Advertising, Placard, Picket Sign",Picket Sign
1,12874,"Document, Advertising, Poster",Poster
1,12875,"Document, Advertising, Poster, Music Poster",Music Poster
1,12876,"Document, Advertising, Poster, Political Poster",Political Poster
1,12877,"Document, Advertising, Poster, Theater Poster",Theater Poster
1,12878,"Document, Advertising, Poster, Theater Poster, Lobby Card",Lobby Card
1,12879,"Document, Advertising, Premium",Premium
1,12880,"Document, Advertising, Premium, Tobacco Premium",Tobacco Premium
1,12882,"Document, Advertising, Premium, Tobacco Premium, Cigar Ribbon",Cigar Ribbon
1,12881,"Document, Advertising, Premium, Tobacco Premium, Tobacco Flannel",Tobacco Flannel
1,12883,"Document, Advertising, Premium, Tobacco Premium, Tobacco Silk",Tobacco Silk
1,12841,"Document, Advertising, Print Ad",Print Ad
1,12842,"Document, Advertising, Print Ad, Magazine Ad",Magazine Ad
1,12843,"Document, Advertising, Print Ad, Newspaper Ad",Newspaper Ad
1,12868,"Document, Advertising, Product Model",Product Model
1,12845,"Document, Advertising, Promotional Balloon",Promotional Balloon
1,12846,"Document, Advertising, Promotional Balloon, Political Balloon",Political Balloon
1,12847,"Document, Advertising, Promotional Banner",Promotional Banner
1,12850,"Document, Advertising, Promotional Button",Promotional Button
1,14975,"Document, Advertising, Promotional Button, Event Button",Event Button
1,12860,"Document, Advertising, Promotional Flag",Promotional Flag
1,12861,"Document, Advertising, Promotional Flag, Promotional Pennant",Promotional Pennant
1,12869,"Document, Advertising, Promotional Novelty",Promotional Novelty
1,12871,"Document, Advertising, Promotional Pin",Promotional Pin
1,12884,"Document, Advertising, Promotional Ribbon",Promotional Ribbon
1,12856,"Document, Advertising, Sales Catalog",Sales Catalog
1,12857,"Document, Advertising, Sales Catalog, Auction Catalog",Auction Catalog
1,12858,"Document, Advertising, Sales Catalog, Mail Order Catalog",Mail Order Catalog
1,12859,"Document, Advertising, Sales Catalog, Trade Catalog",Trade Catalog
1,12891,"Document, Advertising, Trade Symbol",Trade Symbol
1,12893,"Document, Advertising, Trade Symbol, Barber Pole",Barber Pole
1,12892,"Document, Advertising, Trade Symbol, Tobacconist's Figure",Tobacconist's Figure
1,13292,"Document, Announcement",Announcement
1,13293,"Document, Announcement, Anniversary Announcement",Anniversary Announcement
1,13294,"Document, Announcement, Award Announcement",Award Announcement
1,13295,"Document, Announcement, Birth Announcement",Birth Announcement
1,13296,"Document, Announcement, Business Announcement",Business Announcement
1,13297,"Document, Announcement, Funeral Announcement",Funeral Announcement
1,13298,"Document, Announcement, Graduation Announcement",Graduation Announcement
1,13302,"Document, Announcement, Legal Notice",Legal Notice
1,13299,"Document, Announcement, Meeting Announcement",Meeting Announcement
1,13300,"Document, Announcement, Moving Announcement",Moving Announcement
1,13304,"Document, Announcement, News Release",News Release
1,13303,"Document, Announcement, Obituary",Obituary
1,13301,"Document, Announcement, Wedding Announcement",Wedding Announcement
1,13601,"Document, Archive",Archive
1,13602,"Document, Archive, Fonds",Fonds
1,13305,"Document, Banner",Banner
1,13306,"Document, Banner, Service Flag",Service Flag
1,13620,"Document, Calendar",Calendar
1,13621,"Document, Calendar, Perpetual Calendar",Perpetual Calendar
1,13395,"Document, Cartograph",Cartograph
1,13404,"Document, Cartoon",Cartoon
1,13635,"Document, Certificate",Certificate
1,13636,"Document, Certificate, Attendance Certificate",Attendance Certificate
1,13637,"Document, Certificate, Church Certificate",Church Certificate
1,13638,"Document, Certificate, Church Certificate, Baptismal Certificate",Baptismal Certificate
1,13639,"Document, Certificate, Church Certificate, Confirmation Certificate",Confirmation Certificate
1,13640,"Document, Certificate, Church Certificate, First Communion Certificate",First Communion Certificate
1,13641,"Document, Certificate, Membership Certificate",Membership Certificate
1,13405,"Document, Chart",Chart
1,13406,"Document, Chart, Color Chart",Color Chart
1,13411,"Document, Chart, Family Tree",Family Tree
1,13407,"Document, Chart, Flow Chart",Flow Chart
1,13408,"Document, Chart, Navigational Chart",Navigational Chart
1,13409,"Document, Chart, Organizational Chart",Organizational Chart
1,13410,"Document, Chart, Seating Chart",Seating Chart
1,13412,"Document, Comic",Comic
1,13413,"Document, Comic, Comic Book",Comic Book
1,13415,"Document, Comic, Comic Strip",Comic Strip
1,13414,"Document, Comic, Graphic Novel",Graphic Novel
1,13649,"Document, Correspondence",Correspondence
1,13657,"Document, Correspondence, Dispatch",Dispatch
1,13662,"Document, Correspondence, Electronic Mail",Electronic Mail
1,13650,"Document, Correspondence, Greeting Card",Greeting Card
1,13651,"Document, Correspondence, Greeting Card, Congratulatory Card",Congratulatory Card
1,13652,"Document, Correspondence, Greeting Card, Courting Card",Courting Card
1,13653,"Document, Correspondence, Greeting Card, Get Well Card",Get Well Card
1,13654,"Document, Correspondence, Greeting Card, Holiday Card",Holiday Card
1,13655,"Document, Correspondence, Greeting Card, Sympathy Card",Sympathy Card
1,13656,"Document, Correspondence, Greeting Card, Valentine",Valentine
1,13658,"Document, Correspondence, Letter",Letter
1,13659,"Document, Correspondence, Letter, Form Letter",Form Letter
1,13660,"Document, Correspondence, Letter, Recommendation Letter",Recommendation Letter
1,13661,"Document, Correspondence, Letter, Referral Letter",Referral Letter
1,13663,"Document, Correspondence, Memorandum",Memorandum
1,13664,"Document, Correspondence, Telegram",Telegram
1,13665,"Document, Correspondence, V-Mail",V-Mail
1,13670,"Document, Decal",Decal
1,13307,"Document, Declaration",Declaration
1,13291,"Document, Declaratory Documents",Declaratory Documents
1,13308,"Document, Decree",Decree
1,13672,"Document, Digital Document",Digital Document
1,13673,"Document, Digital Document, Database",Database
1,13674,"Document, Digital Document, Spreadsheet",Spreadsheet
1,13671,"Document, Display",Display
1,13666,"Document, Document Cover",Document Cover
1,13668,"Document, Document Cover, Book Jacket",Book Jacket
1,13669,"Document, Document Cover, Book Slipcase",Book Slipcase
1,13667,"Document, Document Cover, Map Cover",Map Cover
1,13685,"Document, Document File",Document File
1,13622,"Document, Documentary Card",Documentary Card
1,13623,"Document, Documentary Card, Attendance Card",Attendance Card
1,13624,"Document, Documentary Card, Autograph Card",Autograph Card
1,13625,"Document, Documentary Card, Catalog Card",Catalog Card
1,13626,"Document, Documentary Card, Collecting Card",Collecting Card
1,13627,"Document, Documentary Card, Collecting Card, Baseball Card",Baseball Card
1,13628,"Document, Documentary Card, Escort Card",Escort Card
1,13629,"Document, Documentary Card, Inspirational Card",Inspirational Card
1,13630,"Document, Documentary Card, Insurance Card",Insurance Card
1,13633,"Document, Documentary Card, Placecard",Placecard
1,13631,"Document, Documentary Card, QSL Card",QSL Card
1,13632,"Document, Documentary Card, Report Card",Report Card
1,13682,"Document, Draft",Draft
1,13683,"Document, Draft, Layout",Layout
1,13684,"Document, Draft, Printing Proof",Printing Proof
1,13309,"Document, Editorial",Editorial
1,13315,"Document, Financial, Appraisal",Appraisal
1,13316,"Document, Financial, Bankbook",Bankbook
1,13325,"Document, Financial, Bookkeeping Record",Bookkeeping Record
1,13327,"Document, Financial, Bookkeeping Record, Account Book",Account Book
1,13328,"Document, Financial, Bookkeeping Record, Account Book, Ledger",Ledger
1,13326,"Document, Financial, Bookkeeping Record, Blotter",Blotter
1,13329,"Document, Financial, Bookkeeping Record, Cashbook",Cashbook
1,13330,"Document, Financial, Bookkeeping Record, Daybook",Daybook
1,13331,"Document, Financial, Bookkeeping Record, Payroll Record",Payroll Record
1,13333,"Document, Financial, Bookkeeping Record, Payroll Record, Paybook",Paybook
1,13334,"Document, Financial, Bookkeeping Record, Payroll Record, Payroll",Payroll
1,13332,"Document, Financial, Bookkeeping Record, Payroll Record, Time Book",Time Book
1,13335,"Document, Financial, Bookkeeping Record, Payroll Record, Timecard",Timecard
